Team Name,Conference,Team Page URL,Logo URL,Local Image Path
Notre Dame,Big Ten,https://www.collegehockeynews.com/reports/team/Notre-Dame/43,https://www.collegehockeynews.com/images/logos/ndm.png,team_logos\notre_dame.png
Ohio State,Big Ten,https://www.collegehockeynews.com/reports/team/Ohio-State/44,https://www.collegehockeynews.com/images/logos/osu.png,team_logos\ohio_state.png
Penn State,Big Ten,https://www.collegehockeynews.com/reports/team/Penn-State/60,https://www.collegehockeynews.com/images/logos/psu.png,team_logos\penn_state.png
Wisconsin,Big Ten,https://www.collegehockeynews.com/reports/team/Wisconsin/58,https://www.collegehockeynews.com/images/logos/wis.png,team_logos\wisconsin.png
Augustana,CCHA,https://www.collegehockeynews.com/reports/team/Augustana/64,https://www.collegehockeynews.com/images/logos/aug.png,team_logos\augustana.png
Bemidji State,CCHA,https://www.collegehockeynews.com/reports/team/Bemidji-State/7,https://www.collegehockeynews.com/images/logos/bmj.png,team_logos\bemidji_state.png
Bowling Green,CCHA,https://www.collegehockeynews.com/reports/team/Bowling-Green/11,https://www.collegehockeynews.com/images/logos/bgs.png,team_logos\bowling_green.png
Ferris State,CCHA,https://www.collegehockeynews.com/reports/team/Ferris-State/21,https://www.collegehockeynews.com/images/logos/fsu.png,team_logos\ferris_state.png
Lake Superior,CCHA,https://www.collegehockeynews.com/reports/team/Lake-Superior/24,https://www.collegehockeynews.com/images/logos/lss.png,team_logos\lake_superior.png
Michigan Tech,CCHA,https://www.collegehockeynews.com/reports/team/Michigan-Tech/33,https://www.collegehockeynews.com/images/logos/mtu.png,team_logos\michigan_tech.png
Minnesota State,CCHA,https://www.collegehockeynews.com/reports/team/Minnesota-State/35,https://www.collegehockeynews.com/images/logos/mns.png,team_logos\minnesota_state.png
Northern Michigan,CCHA,https://www.collegehockeynews.com/reports/team/Northern-Michigan/42,https://www.collegehockeynews.com/images/logos/nmu.png,team_logos\northern_michigan.png
St. Thomas,CCHA,https://www.collegehockeynews.com/reports/team/St-Thomas/63,https://www.collegehockeynews.com/images/logos/stt.png,team_logos\st._thomas.png
Brown,ECAC,https://www.collegehockeynews.com/reports/team/Brown/12,https://www.collegehockeynews.com/images/logos/brn.png,team_logos\brown.png
Clarkson,ECAC,https://www.collegehockeynews.com/reports/team/Clarkson/14,https://www.collegehockeynews.com/images/logos/clk.png,team_logos\clarkson.png
Colgate,ECAC,https://www.collegehockeynews.com/reports/team/Colgate/15,https://www.collegehockeynews.com/images/logos/clg.png,team_logos\colgate.png
Cornell,ECAC,https://www.collegehockeynews.com/reports/team/Cornell/18,https://www.collegehockeynews.com/images/logos/cor.png,team_logos\cornell.png
Dartmouth,ECAC,https://www.collegehockeynews.com/reports/team/Dartmouth/19,https://www.collegehockeynews.com/images/logos/dar.png,team_logos\dartmouth.png
Harvard,ECAC,https://www.collegehockeynews.com/reports/team/Harvard/22,https://www.collegehockeynews.com/images/logos/har.png,team_logos\harvard.png
Princeton,ECAC,https://www.collegehockeynews.com/reports/team/Princeton/45,https://www.collegehockeynews.com/images/logos/prn.png,team_logos\princeton.png
Quinnipiac,ECAC,https://www.collegehockeynews.com/reports/team/Quinnipiac/47,https://www.collegehockeynews.com/images/logos/qui.png,team_logos\quinnipiac.png
RPI,ECAC,https://www.collegehockeynews.com/reports/team/RPI/48,https://www.collegehockeynews.com/images/logos/ren.png,team_logos\rpi.png
St. Lawrence,ECAC,https://www.collegehockeynews.com/reports/team/St-Lawrence/53,https://www.collegehockeynews.com/images/logos/stl.png,team_logos\st._lawrence.png
Union,ECAC,https://www.collegehockeynews.com/reports/team/Union/54,https://www.collegehockeynews.com/images/logos/uni.png,team_logos\union.png
Yale,ECAC,https://www.collegehockeynews.com/reports/team/Yale/59,https://www.collegehockeynews.com/images/logos/yal.png,team_logos\yale.png
Boston College,Hockey East,https://www.collegehockeynews.com/reports/team/Boston-College/9,https://www.collegehockeynews.com/images/logos/bc_.png,team_logos\boston_college.png
Boston University,Hockey East,https://www.collegehockeynews.com/reports/team/Boston-University/10,https://www.collegehockeynews.com/images/logos/bu_.png,team_logos\boston_university.png
Connecticut,Hockey East,https://www.collegehockeynews.com/reports/team/Connecticut/17,https://www.collegehockeynews.com/images/logos/con.png,team_logos\connecticut.png
Maine,Hockey East,https://www.collegehockeynews.com/reports/team/Maine/25,https://www.collegehockeynews.com/images/logos/mne.png,team_logos\maine.png
Mass.-Lowell,Hockey East,https://www.collegehockeynews.com/reports/team/Mass-Lowell/26,https://www.collegehockeynews.com/images/logos/uml.png,team_logos\mass.-lowell.png
Massachusetts,Hockey East,https://www.collegehockeynews.com/reports/team/Massachusetts/27,https://www.collegehockeynews.com/images/logos/uma.png,team_logos\massachusetts.png
Merrimack,Hockey East,https://www.collegehockeynews.com/reports/team/Merrimack/29,https://www.collegehockeynews.com/images/logos/mer.png,team_logos\merrimack.png
New Hampshire,Hockey East,https://www.collegehockeynews.com/reports/team/New-Hampshire/38,https://www.collegehockeynews.com/images/logos/unh.png,team_logos\new_hampshire.png
Northeastern,Hockey East,https://www.collegehockeynews.com/reports/team/Northeastern/41,https://www.collegehockeynews.com/images/logos/noe.png,team_logos\northeastern.png
Providence,Hockey East,https://www.collegehockeynews.com/reports/team/Providence/46,https://www.collegehockeynews.com/images/logos/prv.png,team_logos\providence.png
Vermont,Hockey East,https://www.collegehockeynews.com/reports/team/Vermont/55,https://www.collegehockeynews.com/images/logos/ver.png,team_logos\vermont.png
Arizona State,NCHC,https://www.collegehockeynews.com/reports/team/Arizona-State/61,https://www.collegehockeynews.com/images/logos/asu.png,team_logos\arizona_state.png
Colorado College,NCHC,https://www.collegehockeynews.com/reports/team/Colorado-College/16,https://www.collegehockeynews.com/images/logos/cc_.png,team_logos\colorado_college.png
Denver,NCHC,https://www.collegehockeynews.com/reports/team/Denver/20,https://www.collegehockeynews.com/images/logos/den.png,team_logos\denver.png
