season,away_team,home_team,away_goals,home_goals,away_shots,home_shots,away_xg,home_xg,url,away_eng,home_eng,away_ev_goals,home_ev_goals
20242025,Bentley,Princeton,1.0,3.0,26.0,27.0,2.2,2.1,https://www.collegehockeynews.com/box/final/20250125/ben/prn/,0,0,1.0,3.0
20242025,Minnesota State,Ferris State,7.0,2.0,37.0,25.0,3.1,1.9,https://www.collegehockeynews.com/box/final/20250125/mns/fsu/,0,0,5.0,2.0
20242025,Michigan Tech,Northern Michigan,4.0,0.0,30.0,22.0,3.4,2.2,https://www.collegehockeynews.com/box/final/20250125/mtu/nmu/,1,0,2.0,0.0
20242025,Bemidji State,St. Thomas,2.0,3.0,29.0,29.0,2.5,2.8,https://www.collegehockeynews.com/box/final/20250125/bmj/stt/,0,0,1.0,1.0
20242025,Augustana,Bowling Green,1.0,1.0,28.0,42.0,3.0,4.3,https://www.collegehockeynews.com/box/final/20250125/aug/bgs/,0,0,0.0,1.0
20242025,St. Lawrence,Clarkson,2.0,1.0,25.0,27.0,3.0,3.1,https://www.collegehockeynews.com/box/final/20250125/stl/clk/,0,0,2.0,1.0
20242025,Harvard,Colgate,4.0,1.0,24.0,35.0,2.9,2.8,https://www.collegehockeynews.com/box/final/20250125/har/clg/,2,0,2.0,1.0
20242025,Dartmouth,Cornell,6.0,1.0,30.0,17.0,2.3,1.9,https://www.collegehockeynews.com/box/final/20250125/dar/cor/,0,0,4.0,1.0
20242025,Stonehill,Brown,2.0,5.0,31.0,30.0,2.7,2.7,https://www.collegehockeynews.com/box/final/20250126/stn/brn/,0,0,1.0,5.0
20242025,Bentley,Princeton,0.0,1.0,36.0,21.0,2.5,1.6,https://www.collegehockeynews.com/box/final/20250126/ben/prn/,0,0,0.0,1.0
20242025,Bemidji State,St. Thomas,2.0,1.0,21.0,21.0,2.3,2.8,https://www.collegehockeynews.com/box/final/20250126/bmj/stt/,0,0,1.0,1.0
20242025,Canisius,Robert Morris,4.0,2.0,23.0,39.0,2.5,4.0,https://www.collegehockeynews.com/box/final/20250128/cns/rmu/,0,0,2.0,1.0
20242025,Michigan State,Ohio State,2.0,4.0,37.0,29.0,3.6,2.3,https://www.collegehockeynews.com/box/final/20250130/msu/osu/,0,0,1.0,4.0
20242025,Stonehill,Long Island,2.0,4.0,27.0,20.0,4.4,3.0,https://www.collegehockeynews.com/box/final/20250131/stn/liu/,0,0,0.0,2.0
20242025,Alaska-Anchorage,Alaska,1.0,3.0,28.0,30.0,3.3,2.8,https://www.collegehockeynews.com/box/final/20250131/aka/akf/,0,0,0.0,2.0
20242025,Sacred Heart,Niagara,3.0,2.0,30.0,40.0,3.8,4.6,https://www.collegehockeynews.com/box/final/20250131/sac/nia/,0,0,3.0,2.0
20242025,Mercyhurst,Robert Morris,4.0,2.0,26.0,48.0,1.8,3.9,https://www.collegehockeynews.com/box/final/20250131/mrc/rmu/,1,0,2.0,1.0
20242025,RIT,Air Force,2.0,1.0,29.0,35.0,2.8,3.2,https://www.collegehockeynews.com/box/final/20250131/rit/afa/,0,0,2.0,1.0
20242025,Colgate,Clarkson,2.0,0.0,22.0,29.0,3.1,4.6,https://www.collegehockeynews.com/box/final/20250131/clg/clk/,0,0,2.0,0.0
20242025,Quinnipiac,Dartmouth,5.0,4.0,28.0,26.0,3.0,4.2,https://www.collegehockeynews.com/box/final/20250131/qui/dar/,0,0,4.0,4.0
20242025,Princeton,Harvard,4.0,3.0,29.0,35.0,2.7,2.9,https://www.collegehockeynews.com/box/final/20250131/prn/har/,0,0,4.0,3.0
20242025,Brown,Rensselaer,6.0,5.0,36.0,38.0,3.1,3.1,https://www.collegehockeynews.com/box/final/20250131/brn/ren/,0,0,4.0,4.0
20242025,Cornell,St. Lawrence,1.0,2.0,28.0,29.0,2.8,2.4,https://www.collegehockeynews.com/box/final/20250131/cor/stl/,0,0,1.0,2.0
20242025,Yale,Union,3.0,3.0,25.0,39.0,2.4,3.4,https://www.collegehockeynews.com/box/final/20250131/yal/uni/,0,0,2.0,3.0
20242025,New Hampshire,Boston University,2.0,7.0,21.0,37.0,2.3,3.4,https://www.collegehockeynews.com/box/final/20250131/unh/bu_/,0,1,1.0,5.0
20242025,Northeastern,Maine,1.0,3.0,21.0,32.0,2.9,4.3,https://www.collegehockeynews.com/box/final/20250131/noe/mne/,0,1,1.0,1.0
20242025,Merrimack,Massachusetts,2.0,4.0,25.0,27.0,1.7,2.1,https://www.collegehockeynews.com/box/final/20250131/mer/uma/,0,0,1.0,3.0
20242025,Connecticut,Providence,3.0,3.0,42.0,28.0,3.7,2.6,https://www.collegehockeynews.com/box/final/20250131/con/prv/,0,0,1.0,3.0
20242025,Mass.-Lowell,Boston College,0.0,4.0,22.0,27.0,3.2,3.8,https://www.collegehockeynews.com/box/final/20250131/uml/bc_/,0,0,0.0,4.0
20242025,Western Michigan,Colorado College,4.0,1.0,28.0,27.0,2.9,2.8,https://www.collegehockeynews.com/box/final/20250131/wmu/cc_/,0,0,4.0,1.0
20242025,Omaha,Denver,3.0,3.0,29.0,42.0,3.1,3.8,https://www.collegehockeynews.com/box/final/20250131/uno/den/,0,0,2.0,3.0
20242025,Arizona State,Miami,7.0,1.0,25.0,21.0,4.1,2.5,https://www.collegehockeynews.com/box/final/20250131/asu/mia/,0,0,3.0,1.0
20242025,North Dakota,St. Cloud State,3.0,3.0,35.0,24.0,2.8,2.3,https://www.collegehockeynews.com/box/final/20250131/ndk/stc/,0,0,3.0,3.0
20242025,Penn State,Michigan,5.0,4.0,32.0,39.0,3.8,5.7,https://www.collegehockeynews.com/box/final/20250131/psu/mic/,0,0,2.0,2.0
20242025,Wisconsin,Minnesota,2.0,5.0,35.0,28.0,3.0,2.3,https://www.collegehockeynews.com/box/final/20250131/wis/min/,0,1,2.0,4.0
20242025,Michigan State,Ohio State,4.0,1.0,29.0,23.0,2.5,1.7,https://www.collegehockeynews.com/box/final/20250131/msu/osu/,1,0,3.0,1.0
20242025,St. Thomas,Minnesota State,3.0,2.0,30.0,36.0,2.6,3.0,https://www.collegehockeynews.com/box/final/20250131/stt/mns/,0,0,3.0,1.0
20242025,Bowling Green,Northern Michigan,3.0,2.0,37.0,24.0,4.7,2.9,https://www.collegehockeynews.com/box/final/20250131/bgs/nmu/,0,0,2.0,1.0
20242025,Lake Superior,Augustana,3.0,6.0,29.0,34.0,3.5,4.0,https://www.collegehockeynews.com/box/final/20250131/lss/aug/,0,1,2.0,4.0
20242025,Ferris State,Bemidji State,5.0,1.0,20.0,32.0,2.9,3.2,https://www.collegehockeynews.com/box/final/20250131/fsu/bmj/,1,0,4.0,1.0
20242025,Stonehill,Long Island,2.0,0.0,15.0,26.0,1.4,3.0,https://www.collegehockeynews.com/box/final/20250201/stn/liu/,0,0,1.0,0.0
20242025,Alaska-Anchorage,Alaska,1.0,5.0,33.0,34.0,3.1,3.4,https://www.collegehockeynews.com/box/final/20250201/aka/akf/,0,1,0.0,3.0
20242025,Providence,Connecticut,6.0,3.0,42.0,36.0,3.0,3.1,https://www.collegehockeynews.com/box/final/20250201/prv/con/,2,0,3.0,1.0
20242025,Merrimack,Mass.-Lowell,2.0,3.0,20.0,35.0,1.9,3.3,https://www.collegehockeynews.com/box/final/20250201/mer/uml/,0,0,1.0,3.0
20242025,Brown,Union,1.0,2.0,26.0,26.0,2.3,2.7,https://www.collegehockeynews.com/box/final/20250201/brn/uni/,0,0,0.0,1.0
20242025,Cornell,Clarkson,3.0,3.0,27.0,37.0,4.0,4.6,https://www.collegehockeynews.com/box/final/20250201/cor/clk/,0,0,3.0,2.0
20242025,Princeton,Dartmouth,3.0,1.0,28.0,20.0,3.0,2.0,https://www.collegehockeynews.com/box/final/20250201/prn/dar/,1,0,2.0,1.0
20242025,Yale,Rensselaer,2.0,5.0,35.0,26.0,2.9,3.1,https://www.collegehockeynews.com/box/final/20250201/yal/ren/,0,2,1.0,3.0
20242025,Colgate,St. Lawrence,6.0,1.0,27.0,36.0,2.5,4.3,https://www.collegehockeynews.com/box/final/20250201/clg/stl/,0,0,4.0,1.0
20242025,Sacred Heart,Niagara,3.0,2.0,35.0,33.0,3.9,4.1,https://www.collegehockeynews.com/box/final/20250201/sac/nia/,0,0,2.0,2.0
20242025,RIT,Air Force,3.0,2.0,21.0,29.0,3.0,4.0,https://www.collegehockeynews.com/box/final/20250201/rit/afa/,0,0,1.0,2.0
20242025,Canisius,Holy Cross,2.0,3.0,38.0,34.0,4.6,4.3,https://www.collegehockeynews.com/box/final/20250201/cns/hcr/,0,0,1.0,2.0
20242025,Mercyhurst,Robert Morris,3.0,3.0,27.0,37.0,2.5,3.5,https://www.collegehockeynews.com/box/final/20250201/mrc/rmu/,0,0,3.0,1.0
20242025,Wisconsin,Minnesota,1.0,4.0,27.0,26.0,2.2,1.8,https://www.collegehockeynews.com/box/final/20250201/wis/min/,0,1,0.0,3.0
20242025,Penn State,Michigan,3.0,7.0,39.0,41.0,4.9,3.7,https://www.collegehockeynews.com/box/final/20250201/psu/mic/,0,1,2.0,5.0
20242025,Western Michigan,Colorado College,2.0,3.0,36.0,23.0,4.4,3.3,https://www.collegehockeynews.com/box/final/20250201/wmu/cc_/,0,0,1.0,3.0
20242025,Omaha,Denver,2.0,11.0,23.0,40.0,2.3,3.8,https://www.collegehockeynews.com/box/final/20250201/uno/den/,0,0,0.0,9.0
20242025,North Dakota,St. Cloud State,6.0,2.0,24.0,35.0,2.4,3.5,https://www.collegehockeynews.com/box/final/20250201/ndk/stc/,1,0,4.0,0.0
20242025,Arizona State,Miami,4.0,1.0,24.0,11.0,2.6,2.3,https://www.collegehockeynews.com/box/final/20250201/asu/mia/,0,0,3.0,1.0
20242025,Bowling Green,Northern Michigan,5.0,2.0,39.0,37.0,4.3,3.2,https://www.collegehockeynews.com/box/final/20250201/bgs/nmu/,1,0,3.0,1.0
20242025,Minnesota State,St. Thomas,3.0,2.0,22.0,30.0,2.1,2.6,https://www.collegehockeynews.com/box/final/20250201/mns/stt/,0,0,3.0,1.0
20242025,Lake Superior,Augustana,3.0,4.0,31.0,30.0,3.7,3.1,https://www.collegehockeynews.com/box/final/20250201/lss/aug/,0,0,2.0,2.0
20242025,Ferris State,Bemidji State,3.0,1.0,16.0,30.0,2.8,3.7,https://www.collegehockeynews.com/box/final/20250201/fsu/bmj/,1,0,2.0,1.0
20242025,Canisius,Holy Cross,1.0,4.0,29.0,42.0,3.6,5.0,https://www.collegehockeynews.com/box/final/20250202/cns/hcr/,0,0,1.0,1.0
20242025,Massachusetts,Maine,2.0,3.0,26.0,31.0,3.7,3.5,https://www.collegehockeynews.com/box/final/20250202/uma/mne/,0,0,2.0,2.0
20242025,Harvard,Boston University,1.0,7.0,27.0,38.0,2.0,3.8,https://www.collegehockeynews.com/box/final/20250203/har/bu_/,0,0,0.0,5.0
20242025,Northeastern,Boston College,2.0,8.0,30.0,31.0,2.9,4.3,https://www.collegehockeynews.com/box/final/20250203/noe/bc_/,0,0,2.0,8.0
20242025,Army,Bentley,2.0,5.0,28.0,41.0,2.0,3.8,https://www.collegehockeynews.com/box/final/20250204/arm/ben/,0,1,2.0,3.0
