Team,NPI,SOS,QWB,WP,Dropped Wins,Dropped Losses,Rank
Holy Cross,49.432537627475774,48.96480679739991,0.01335807605729058,50.0,0,0,44
Colgate,49.06797707353281,51.549033061718376,0.1667218906584076,41.37931034482759,0,0,45
Bemidji State,48.82409505160741,51.97191886142949,0.14882336555663572,38.76923076923077,0,0,46
Army,48.77004839231011,49.249796315090386,0.11028458425725883,46.61417322834646,0,0,47
UMass Lowell,48.58041158036546,51.683616789923214,0.2883881905669558,38.29457364341084,0,0,48
Vermont,48.496689750579165,51.434589793010474,0.2806442573445141,37.73913043478261,0,0,49
Alaska,48.473623042013514,52.306760764276035,0.2697544604532434,35.51401869158878,0,0,50
Lake Superior,48.060212880685064,50.3539965986452,0.1773394559403253,40.28776978417265,0,0,51
Yale,46.80149599627156,50.75828040693453,0.16439139738518652,34.375,0,0,52
Robert Morris,46.789790116117835,49.654330344504025,0.0,38.813559322033896,0,0,53
Notre Dame,46.39545431923777,54.06574070627904,0.034468610095003176,22.26086956521739,0,0,54
RPI,44.79122526137395,50.58923102444518,0.015952229480079395,27.419354838709676,0,0,55
Ferris State,44.16615529810423,53.177208208135205,0.24382439285116933,16.153846153846153,0,1,56
Niagara,44.070922788789005,48.71906568149994,0.12484030738580322,29.909909909909913,0,0,57
Brown,44.01293897374916,50.064604952326526,0.024589709081425274,25.168539325842698,0,0,58
Stonehill,43.739741589106785,49.94863875214391,0.015266372636903522,26.31578947368421,0,2,59
Northern Michigan,43.11138096948292,52.659880566002315,0.08048013100258111,13.83458646616541,0,2,60
Alaska Anchorage,42.78376754876735,50.46688792393348,0.12167371095616,19.823008849557517,0,0,61
St. Lawrence,41.39171000836631,49.504700701857004,0.0005709629771066654,17.073170731707314,0,4,62
Mercyhurst,41.08397364840961,51.03279448539244,0.0,14.049586776859504,0,4,63
